date, pm25
01-01-2015,230
02-01-2015,143
03-01-2015,119
04-01-2015,160
05-01-2015,154
06-01-2015,185
07-01-2015,212
08-01-2015,246
09-01-2015,227
10-01-2015,200
11-01-2015,200
12-01-2015,228
13-01-2015,221
14-01-2015,283
15-01-2015,233
16-01-2015,253
17-01-2015,189
18-01-2015,185
19-01-2015,215
20-01-2015,231
21-01-2015,220
22-01-2015,251
23-01-2015,263
24-01-2015,199
25-01-2015,224
26-01-2015,198
27-01-2015,184
28-01-2015,227
29-01-2015,189
30-01-2015,174
31-01-2015,188
01-02-2015,179
02-02-2015,190
03-02-2015,243
04-02-2015,265
05-02-2015,208
06-02-2015,185
07-02-2015,183
08-02-2015,215
09-02-2015,193
10-02-2015,226
11-02-2015,197
12-02-2015,216
13-02-2015,190
14-02-2015,188
15-02-2015,168
16-02-2015,148
17-02-2015,155
18-02-2015,143
19-02-2015,120
20-02-2015,118
21-02-2015,156
22-02-2015,153
23-02-2015,154
24-02-2015,140
25-02-2015,155
26-02-2015,150
27-02-2015,127
28-02-2015,131
01-03-2015,90
03-03-2015,158
04-03-2015,169
05-03-2015,155
06-03-2015,161
07-03-2015,165
08-03-2015,168
09-03-2015,173
10-03-2015,188
11-03-2015,182
12-03-2015,173
13-03-2015,178
14-03-2015,168
15-03-2015,158
16-03-2015,152
17-03-2015,164
18-03-2015,155
19-03-2015,159
20-03-2015,161
21-03-2015,171
22-03-2015,175
23-03-2015,178
24-03-2015,155
25-03-2015,144
26-03-2015,141
27-03-2015,125
28-03-2015,135
29-03-2015,111
30-03-2015,93
31-03-2015,112
01-04-2015,152
02-04-2015,94
03-04-2015,110
04-04-2015,120
05-04-2015,102
06-04-2015,103
07-04-2015,105
08-04-2015,83
09-04-2015,104
10-04-2015,135
11-04-2015,81
12-04-2015,109
13-04-2015,153
14-04-2015,150
15-04-2015,160
16-04-2015,166
17-04-2015,140
18-04-2015,81
19-04-2015,60
20-04-2015,57
21-04-2015,66
22-04-2015,70
23-04-2015,86
24-04-2015,75
25-04-2015,99
26-04-2015,120
27-04-2015,87
28-04-2015,81
29-04-2015,85
30-04-2015,88
01-05-2015,90
02-05-2015,87
03-05-2015,95
04-05-2015,122
05-05-2015,100
06-05-2015,99
07-05-2015,92
08-05-2015,81
09-05-2015,83
10-05-2015,78
11-05-2015,88
12-05-2015,86
13-05-2015,87
14-05-2015,92
15-05-2015,82
16-05-2015,94
17-05-2015,79
18-05-2015,54
19-05-2015,47
20-05-2015,63
21-05-2015,100
22-05-2015,111
23-05-2015,116
24-05-2015,113
25-05-2015,113
26-05-2015,104
27-05-2015,92
28-05-2015,88
29-05-2015,87
30-05-2015,82
31-05-2015,78
01-06-2015,82
02-06-2015,70
03-06-2015,53
04-06-2015,58
05-06-2015,72
06-06-2015,67
07-06-2015,61
08-06-2015,67
09-06-2015,64
10-06-2015,79
11-06-2015,71
12-06-2015,87
13-06-2015,77
14-06-2015,98
15-06-2015,58
16-06-2015,57
17-06-2015,58
18-06-2015,50
19-06-2015,37
20-06-2015,28
21-06-2015,31
22-06-2015,43
23-06-2015,62
24-06-2015,93
25-06-2015,102
26-06-2015,116
27-06-2015,109
28-06-2015,110
29-06-2015,96
30-06-2015,84
01-07-2015,124
02-07-2015,118
03-07-2015,80
04-07-2015,81
05-07-2015,77
06-07-2015,86
07-07-2015,59
08-07-2015,69
09-07-2015,40
10-07-2015,42
11-07-2015,30
12-07-2015,50
13-07-2015,56
14-07-2015,68
17-07-2015,46
18-07-2015,56
19-07-2015,44
20-07-2015,26
21-07-2015,24
22-07-2015,17
23-07-2015,15
24-07-2015,32
27-07-2015,24
28-07-2015,34
29-07-2015,40
30-07-2015,43
31-07-2015,28
01-08-2015,23
02-08-2015,27
03-08-2015,33
04-08-2015,48
05-08-2015,64
06-08-2015,64
07-08-2015,48
08-08-2015,42
09-08-2015,11
10-08-2015,11
11-08-2015,2
13-08-2015,2
14-08-2015,12
15-08-2015,11
16-08-2015,22
17-08-2015,27
18-08-2015,27
19-08-2015,34
20-08-2015,63
21-08-2015,88
22-08-2015,63
23-08-2015,80
24-08-2015,74
25-08-2015,76
26-08-2015,47
27-08-2015,22
28-08-2015,33
29-08-2015,33
30-08-2015,43
31-08-2015,52
01-09-2015,56
02-09-2015,32
03-09-2015,50
04-09-2015,52
05-09-2015,82
06-09-2015,82
07-09-2015,79
08-09-2015,88
09-09-2015,95
10-09-2015,153
12-09-2015,6
13-09-2015,43
14-09-2015,11
23-09-2015,68
24-09-2015,113
25-09-2015,123
26-09-2015,153
27-09-2015,147
28-09-2015,151
29-09-2015,171
30-09-2015,167
01-10-2015,165
02-10-2015,109
03-10-2015,110
04-10-2015,131
05-10-2015,156
06-10-2015,115
07-10-2015,86
08-10-2015,64
09-10-2015,144
10-10-2015,154
11-10-2015,150
12-10-2015,150
13-10-2015,105
14-10-2015,65
15-10-2015,91
16-10-2015,116
17-10-2015,158
18-10-2015,170
19-10-2015,181
20-10-2015,165
21-10-2015,158
25-10-2015,168
26-10-2015,169
27-10-2015,168
28-10-2015,182
29-10-2015,175
30-10-2015,169
31-10-2015,94
01-11-2015,77
02-11-2015,107
03-11-2015,136
04-11-2015,144
05-11-2015,129
06-11-2015,159
07-11-2015,180
08-11-2015,202
09-11-2015,190
10-11-2015,199
11-11-2015,236
12-11-2015,354
13-11-2015,288
14-11-2015,265
15-11-2015,193
16-11-2015,191
17-11-2015,208
18-11-2015,165
19-11-2015,173
20-11-2015,199
21-11-2015,192
22-11-2015,181
23-11-2015,187
24-11-2015,238
25-11-2015,204
26-11-2015,186
27-11-2015,209
28-11-2015,184
29-11-2015,215
30-11-2015,205
01-12-2015,207
02-12-2015,238
03-12-2015,176
04-12-2015,172
05-12-2015,186
06-12-2015,176
07-12-2015,196
08-12-2015,212
09-12-2015,236
10-12-2015,219
11-12-2015,179
12-12-2015,160
13-12-2015,175
14-12-2015,203
15-12-2015,207
16-12-2015,248
17-12-2015,247
18-12-2015,259
19-12-2015,265
20-12-2015,320
21-12-2015,244
22-12-2015,250
23-12-2015,235
24-12-2015,209
25-12-2015,200
26-12-2015,249
27-12-2015,217
28-12-2015,305
29-12-2015,392
30-12-2015,414
03-01-2016,367
04-01-2016,320
05-01-2016,336
06-01-2016,352
07-01-2016,423
08-01-2016,232
09-01-2016,214
10-01-2016,207
11-01-2016,216
12-01-2016,252
13-01-2016,294
14-01-2016,265
15-01-2016,208
16-01-2016,199
17-01-2016,226
18-01-2016,235
19-01-2016,228
20-01-2016,219
21-01-2016,187
22-01-2016,190
23-01-2016,207
24-01-2016,218
25-01-2016,253
26-01-2016,249
27-01-2016,248
28-01-2016,229
29-01-2016,231
30-01-2016,235
31-01-2016,187
01-02-2016,244
02-02-2016,182
03-02-2016,202
04-02-2016,193
05-02-2016,192
06-02-2016,238
07-02-2016,287
08-02-2016,241
09-02-2016,197
10-02-2016,271
11-02-2016,164
12-02-2016,159
13-02-2016,201
14-02-2016,154
15-02-2016,161
16-02-2016,178
17-02-2016,184
18-02-2016,172
19-02-2016,162
20-02-2016,165
21-02-2016,169
22-02-2016,167
23-02-2016,180
24-02-2016,125
25-02-2016,92
26-02-2016,139
27-02-2016,148
29-02-2016,165
01-03-2016,150
02-03-2016,135
03-03-2016,139
04-03-2016,145
05-03-2016,155
06-03-2016,174
07-03-2016,173
08-03-2016,157
09-03-2016,154
10-03-2016,161
11-03-2016,173
12-03-2016,168
13-03-2016,146
14-03-2016,170
15-03-2016,165
16-03-2016,158
17-03-2016,154
18-03-2016,166
21-03-2016,157
22-03-2016,158
23-03-2016,160
24-03-2016,170
25-03-2016,153
26-03-2016,144
27-03-2016,133
28-03-2016,145
29-03-2016,155
30-03-2016,132
31-03-2016,107
01-04-2016,87
02-04-2016,97
03-04-2016,98
04-04-2016,101
05-04-2016,109
06-04-2016,141
07-04-2016,150
08-04-2016,139
09-04-2016,118
10-04-2016,134
11-04-2016,138
12-04-2016,156
13-04-2016,146
14-04-2016,117
15-04-2016,118
16-04-2016,89
17-04-2016,92
18-04-2016,91
19-04-2016,88
20-04-2016,89
21-04-2016,90
22-04-2016,104
23-04-2016,107
24-04-2016,118
25-04-2016,96
26-04-2016,86
27-04-2016,88
28-04-2016,101
29-04-2016,102
30-04-2016,119
01-05-2016,134
02-05-2016,101
03-05-2016,97
04-05-2016,112
05-05-2016,114
06-05-2016,101
07-05-2016,86
08-05-2016,82
09-05-2016,92
10-05-2016,94
11-05-2016,117
12-05-2016,95
13-05-2016,95
14-05-2016,82
15-05-2016,66
16-05-2016,65
17-05-2016,68
18-05-2016,54
19-05-2016,54
20-05-2016,66
21-05-2016,82
22-05-2016,112
23-05-2016,118
24-05-2016,123
25-05-2016,112
26-05-2016,124
27-05-2016,110
28-05-2016,136
29-05-2016,131
30-05-2016,123
31-05-2016,113
01-06-2016,90
02-06-2016,99
03-06-2016,96
04-06-2016,90
05-06-2016,80
06-06-2016,79
07-06-2016,88
08-06-2016,83
09-06-2016,88
10-06-2016,128
11-06-2016,131
12-06-2016,102
13-06-2016,86
14-06-2016,117
15-06-2016,123
16-06-2016,129
17-06-2016,102
18-06-2016,86
19-06-2016,76
20-06-2016,80
21-06-2016,79
22-06-2016,74
23-06-2016,81
24-06-2016,77
25-06-2016,68
26-06-2016,63
27-06-2016,68
28-06-2016,75
29-06-2016,70
30-06-2016,69
01-07-2016,78
02-07-2016,78
03-07-2016,87
04-07-2016,91
05-07-2016,100
06-07-2016,99
07-07-2016,107
08-07-2016,97
09-07-2016,81
10-07-2016,83
11-07-2016,79
12-07-2016,82
13-07-2016,94
14-07-2016,115
15-07-2016,130
16-07-2016,112
17-07-2016,106
18-07-2016,104
19-07-2016,119
20-07-2016,115
21-07-2016,88
22-07-2016,76
23-07-2016,77
24-07-2016,74
25-07-2016,79
26-07-2016,75
27-07-2016,77
28-07-2016,80
29-07-2016,103
30-07-2016,104
31-07-2016,124
01-08-2016,115
02-08-2016,81
03-08-2016,75
04-08-2016,67
05-08-2016,70
06-08-2016,76
07-08-2016,85
08-08-2016,118
09-08-2016,94
10-08-2016,93
11-08-2016,93
12-08-2016,111
13-08-2016,111
14-08-2016,127
15-08-2016,115
16-08-2016,92
17-08-2016,47
18-08-2016,90
19-08-2016,112
20-08-2016,129
21-08-2016,137
22-08-2016,82
23-08-2016,100
24-08-2016,145
25-08-2016,130
26-08-2016,82
27-08-2016,70
28-08-2016,67
29-08-2016,61
30-08-2016,44
31-08-2016,49
01-09-2016,52
02-09-2016,95
03-09-2016,93
04-09-2016,104
05-09-2016,73
06-09-2016,89
07-09-2016,92
08-09-2016,89
09-09-2016,81
10-09-2016,81
11-09-2016,69
12-09-2016,63
13-09-2016,66
14-09-2016,49
15-09-2016,51
16-09-2016,59
17-09-2016,78
18-09-2016,62
19-09-2016,69
20-09-2016,57
21-09-2016,45
22-09-2016,45
23-09-2016,38
24-09-2016,47
25-09-2016,64
26-09-2016,72
27-09-2016,84
28-09-2016,89
29-09-2016,70
30-09-2016,58
01-10-2016,51
02-10-2016,46
03-10-2016,96
04-10-2016,107
05-10-2016,119
06-10-2016,93
07-10-2016,48
08-10-2016,62
09-10-2016,71
10-10-2016,65
11-10-2016,64
12-10-2016,143
13-10-2016,170
14-10-2016,169
15-10-2016,165
16-10-2016,165
17-10-2016,163
18-10-2016,163
19-10-2016,162
20-10-2016,168
21-10-2016,174
22-10-2016,180
23-10-2016,182
24-10-2016,194
25-10-2016,186
26-10-2016,189
27-10-2016,121
28-10-2016,135
29-10-2016,151
30-10-2016,210
31-10-2016,154
01-11-2016,175
02-11-2016,170
03-11-2016,151
04-11-2016,152
05-11-2016,92
07-11-2016,180
08-11-2016,205
09-11-2016,240
10-11-2016,243
11-11-2016,220
12-11-2016,202
13-11-2016,187
14-11-2016,199
15-11-2016,221
16-11-2016,197
17-11-2016,193
18-11-2016,196
19-11-2016,226
20-11-2016,265
21-11-2016,284
22-11-2016,255
23-11-2016,294
24-11-2016,282
25-11-2016,274
26-11-2016,322
27-11-2016,319
28-11-2016,318
29-11-2016,223
30-11-2016,211
01-12-2016,183
02-12-2016,199
03-12-2016,211
04-12-2016,215
05-12-2016,223
06-12-2016,225
07-12-2016,207
08-12-2016,196
09-12-2016,192
10-12-2016,221
11-12-2016,216
12-12-2016,238
13-12-2016,246
14-12-2016,257
15-12-2016,231
16-12-2016,198
17-12-2016,222
18-12-2016,272
19-12-2016,262
20-12-2016,258
21-12-2016,311
22-12-2016,335
23-12-2016,335
24-12-2016,368
25-12-2016,332
26-12-2016,231
27-12-2016,236
28-12-2016,253
29-12-2016,242
30-12-2016,290
31-12-2016,273
01-01-2017,339
02-01-2017,306
03-01-2017,256
04-01-2017,214
05-01-2017,229
06-01-2017,210
07-01-2017,234
08-01-2017,224
09-01-2017,212
10-01-2017,204
11-01-2017,184
12-01-2017,183
13-01-2017,190
14-01-2017,194
15-01-2017,203
16-01-2017,249
17-01-2017,280
18-01-2017,300
19-01-2017,250
20-01-2017,253
21-01-2017,260
22-01-2017,212
23-01-2017,234
24-01-2017,249
25-01-2017,239
26-01-2017,219
27-01-2017,258
28-01-2017,219
29-01-2017,160
30-01-2017,196
31-01-2017,210
01-02-2017,223
02-02-2017,222
03-02-2017,206
04-02-2017,204
05-02-2017,206
06-02-2017,250
07-02-2017,214
08-02-2017,228
09-02-2017,222
10-02-2017,214
11-02-2017,207
12-02-2017,195
13-02-2017,212
14-02-2017,241
15-02-2017,205
16-02-2017,210
17-02-2017,232
18-02-2017,182
19-02-2017,187
21-02-2017,157
22-02-2017,145
23-02-2017,158
24-02-2017,171
25-02-2017,192
26-02-2017,181
27-02-2017,179
28-02-2017,200
01-03-2017,194
02-03-2017,166
03-03-2017,158
04-03-2017,152
05-03-2017,129
06-03-2017,151
07-03-2017,180
08-03-2017,148
09-03-2017,137
10-03-2017,115
11-03-2017,129
12-03-2017,162
13-03-2017,163
14-03-2017,173
15-03-2017,180
16-03-2017,176
17-03-2017,162
18-03-2017,151
19-03-2017,151
20-03-2017,157
21-03-2017,157
22-03-2017,151
23-03-2017,152
24-03-2017,152
25-03-2017,153
26-03-2017,150
27-03-2017,152
28-03-2017,129
29-03-2017,119
30-03-2017,99
31-03-2017,109
01-04-2017,115
02-04-2017,110
03-04-2017,120
04-04-2017,97
05-04-2017,94
06-04-2017,97
07-04-2017,108
08-04-2017,125
09-04-2017,126
10-04-2017,132
11-04-2017,140
12-04-2017,144
13-04-2017,135
14-04-2017,116
15-04-2017,117
16-04-2017,82
17-04-2017,129
18-04-2017,107
19-04-2017,133
20-04-2017,109
21-04-2017,134
22-04-2017,124
23-04-2017,138
24-04-2017,128
25-04-2017,142
26-04-2017,146
27-04-2017,144
28-04-2017,140
29-04-2017,126
01-05-2017,122
02-05-2017,113
03-05-2017,123
04-05-2017,128
05-05-2017,114
06-05-2017,93
07-05-2017,112
08-05-2017,86
09-05-2017,105
10-05-2017,105
11-05-2017,89
12-05-2017,111
13-05-2017,98
14-05-2017,120
15-05-2017,98
16-05-2017,97
17-05-2017,127
18-05-2017,119
19-05-2017,120
20-05-2017,132
21-05-2017,133
22-05-2017,131
23-05-2017,126
24-05-2017,116
25-05-2017,108
26-05-2017,89
27-05-2017,108
28-05-2017,109
29-05-2017,124
30-05-2017,105
31-05-2017,119
01-06-2017,107
02-06-2017,104
03-06-2017,105
04-06-2017,92
05-06-2017,103
06-06-2017,94
07-06-2017,100
08-06-2017,97
09-06-2017,85
10-06-2017,81
11-06-2017,69
12-06-2017,88
13-06-2017,140
14-06-2017,81
15-06-2017,61
16-06-2017,124
17-06-2017,126
18-06-2017,107
19-06-2017,107
20-06-2017,88
21-06-2017,98
22-06-2017,115
23-06-2017,114
24-06-2017,125
25-06-2017,78
26-06-2017,71
27-06-2017,65
28-06-2017,65
29-06-2017,70
30-06-2017,98
01-07-2017,87
02-07-2017,102
03-07-2017,106
04-07-2017,90
05-07-2017,114
06-07-2017,129
07-07-2017,126
08-07-2017,122
09-07-2017,92
10-07-2017,99
11-07-2017,107
12-07-2017,123
13-07-2017,68
14-07-2017,69
15-07-2017,62
17-07-2017,76
18-07-2017,54
19-07-2017,59
20-07-2017,87
21-07-2017,100
22-07-2017,94
23-07-2017,85
24-07-2017,80
25-07-2017,105
26-07-2017,106
27-07-2017,101
28-07-2017,112
29-07-2017,132
30-07-2017,112
31-07-2017,130
01-08-2017,120
02-08-2017,139
03-08-2017,120
04-08-2017,114
05-08-2017,111
06-08-2017,87
07-08-2017,95
08-08-2017,88
09-08-2017,90
10-08-2017,91
11-08-2017,118
12-08-2017,122
13-08-2017,97
14-08-2017,123
15-08-2017,112
16-08-2017,111
17-08-2017,108
18-08-2017,74
19-08-2017,67
20-08-2017,78
21-08-2017,89
22-08-2017,110
23-08-2017,106
24-08-2017,99
25-08-2017,76
26-08-2017,70
27-08-2017,65
28-08-2017,64
29-08-2017,78
30-08-2017,88
31-08-2017,100
01-09-2017,100
02-09-2017,94
03-09-2017,133
04-09-2017,149
05-09-2017,151
06-09-2017,148
11-09-2017,75
12-09-2017,91
13-09-2017,127
14-09-2017,134
15-09-2017,116
16-09-2017,129
17-09-2017,113
18-09-2017,68
19-09-2017,39
20-09-2017,31
21-09-2017,17
22-09-2017,36
